49.411, -143.800, 1.100, 2.156
49.431, -143.800, 1.100, 2.352
49.451, -143.800, 1.100, 2.548
49.471, -143.800, 1.100, 2.744
49.491, -143.800, 1.100, 2.940
49.511, -143.800, 1.100, 3.136
49.531, -143.800, 1.100, 3.332
49.551, -143.800, 1.100, 3.528
49.571, -143.800, 1.100, 3.724
49.591, -143.800, 1.100, 3.920
49.611, -143.800, 1.100, 4.116
49.631, -143.800, 1.100, 4.312
49.651, -143.800, 1.100, 4.508
49.671, -143.800, 1.100, 4.704
49.691, -143.800, 1.100, 4.900
49.711, -143.800, 1.100, 5.096
49.731, -143.800, 1.100, 5.292
49.751, -143.800, 1.100, 5.488
49.771, -143.800, 1.100, 5.684
49.791, -143.800, 1.100, 5.880
49.811, -143.800, 1.100, 6.076
49.831, -143.800, 1.100, 6.272
49.851, -143.800, 1.100, 6.468
49.871, -143.800, 1.100, 6.664
49.891, -143.800, 1.100, 6.860
49.911, -143.800, 1.100, 7.056
49.931, -143.800, 1.100, 7.252
49.951, -143.802, 1.100, 7.328
49.971, -143.809, 1.101, 5.029
49.991, -143.820, 1.101, 0.570
50.011, -143.835, 1.102, 0.838
50.031, -143.855, 1.104, 1.053
50.051, -143.876, 1.106, 1.058
50.071, -143.898, 1.108, 1.060
50.091, -143.922, 1.110, 1.218
50.111, -143.947, 1.112, 1.209
50.131, -143.971, 1.114, 1.205
50.151, -143.997, 1.115, 1.268
50.171, -144.026, 1.117, 1.491
50.191, -144.055, 1.120, 1.534
50.211, -144.086, 1.122, 1.537
50.231, -144.119, 1.124, 1.718
50.251, -144.154, 1.127, 1.807
50.271, -144.192, 1.129, 1.874
50.291, -144.234, 1.132, 2.112
50.311, -144.277, 1.134, 2.142
50.331, -144.322, 1.137, 2.329
50.351, -144.370, 1.141, 2.468
50.371, -144.420, 1.144, 2.559
50.391, -144.471, 1.147, 2.656
50.411, -144.528, 1.151, 2.947
50.431, -144.587, 1.154, 2.990
50.451, -144.646, 1.158, 3.056
50.471, -144.706, 1.161, 3.108
50.491, -144.768, 1.165, 3.163
50.511, -144.831, 1.169, 3.247
50.531, -144.897, 1.172, 3.409
50.551, -144.965, 1.176, 3.487
50.571, -145.038, 1.180, 3.721
50.591, -145.112, 1.184, 3.801
50.611, -145.187, 1.188, 3.882
50.631, -145.266, 1.192, 3.994
50.651, -145.346, 1.197, 4.097
50.671, -145.428, 1.201, 4.211
50.691, -145.514, 1.206, 4.386
50.711, -145.602, 1.211, 4.499
50.731, -145.692, 1.215, 4.597
50.751, -145.784, 1.220, 4.713
50.771, -145.877, 1.225, 4.715
50.791, -145.969, 1.229, 4.711
